Name,Birthday,Likes,Loves,Dislikes,Hates,Lives in,Marriage,Quotes
Abigail,Fall 13,"Quartz
Combat Quarterly
Bone Flute
Basilisk Paw
Ancient Sword","Amethyst
Banana Pudding
Blackberry Cobbler
Chocolate Cake
Pufferfish
Pumpkin
Spicy Eel
Monster Compendium","All Eggs
All Fruit (except Fruit Tree Fruit)
All Vegetables (except Hops, Pumpkin, Tea Leaves, & Wheat)
Sugar
Wild Horseradish","Clay
Holly",Pelican Town,Yes,"""The birds were happily chirping today. They're too simple to understand the future. It's better to be like them, isn't it?"""
Alex,Summer 13,"All White Eggs
All Brown Eggs
Duck Eggs","Complete Breakfast
Salmon Dinner","All Books
Salmonberry
Wild Horseradish","Holly
Quartz",Pelican Town,Yes,"""Maybe if I read a book I'd be less bored...Nah."""
Caroline,Winter 7,"Daffodil
Tea Leaves","Fish Taco
Green Tea
Summer Spangle
Tropical Curry","All Mushrooms (except Red)
Amaranth
Dandelion
Duck Mayonnaise
Ginger
Hazelnut
Holly
Leek
Mayonnaise
Snow Yam
Winter Root","Quartz
Salmonberry",Pelican Town,No,"""Abby's always had a strange interest in the occult. I'm not sure where she gets it from..."""
Clint,Winter 26,"Copper Bar
Iron Bar","Gems (minus diamond)
Artichoke Dip
Fiddlehead Risotto
Gold Bar
Iridium Bar
Omni Geode","All Flowers (except Poppy)
Quartz
Wild Horseradish
Salmonberry",Holly,Pelican Town,No,"""Be glad you're a farmer, [Player]. It's nicer to work outdoors than by a hot furnace all day. I'm only a blacksmith because my father pushed me into it."""
Demetrius,Summer 19,"All White Eggs
All Brown Eggs
Duck Eggs
All Fruit
Purple Mushroom","Bean Hotpot
Ice Cream
Rice Pudding
Strawberry", Quartz,Holly,The Mountain,No,"""Robin has a hot temper. It's better to stay on her good side. ...now if I could only quantify her mood levels, perhaps I could model the fluctuations using a sinusoidal curve..."""
Dwarf,Summer 22,"Artifacts
Cave Carrot
Quartz","Gems (minus diamond)
Lemon Stone
Omni Geode","All Eggs
All Mushrooms (except Red)
Daffodil
Dandelion
Ginger
Hazelnut
Holly
Leek
Salmonberry
Snow Yam
Wild Horseradish
Winter Root",Nothing,The Mines,No,"""Most humans fear the unknown... that's why I've hidden my shop here. Your mining skills prove you're trustworthy."""
Elliott,Fall 5,"Octopus
Squid
All Books","Crab Cakes
Duck Feather
Lobster
Pomegranate
Squid Ink
Tom Kha Soup","All Milk
All Mushrooms (except Red)
Daffodil
Dandelion
Ginger
Hazelnut
Holly
Leek
Pizza
Snow Yam
Wild Horseradish
Winter Root","Amaranth
Quartz
Salmonberry
Sea Cucumber
Super Cucumber",The Beach,Yes,"""I write in hopes of connecting with others through time and space. *sigh*...times are changing, though. People don't read anymore."""
Emily,Spring 27,"Daffodil
Quartz","Gems(minus Diamond)
Cloth
Survival Burger
Wool","Fried Eel
Ice Cream
Rice Pudding
Salmonberry
Spicy Eel","Fish Taco
Holly
Maki Roll
Salmon Dinner
Sashimi",Pelican Town,Yes,"""Can you feel it? The ocean has a profound healing energy."""
Evelyn,Winter 20,"All Milk
Daffodil","Beet
Chocolate Cake
Diamond
Fairy Rose
Stuffing
Tulip","Quartz
Wild Horseradish","All Fish (except Clam, Cockle, Mussel, & Oyster)
Clay
Fried Eel
Garlic
Holly
Maki Roll
Salmonberry
Sashimi
Spice Berry
Spicy Eel
Trout Soup",Pelican Town,No,"""I'm going to bake cookies today. They're coconut wonders shaped like little palm trees! Heehee. Maybe I'll tell you my recipe one of these days."""
George,Fall 24,Daffodil,"Fried Mushroom
Leek","All Flowers (except Poppy)
Salmonberry
Wild Horseradish","Clay
Dandelion
Holly
Quartz",Pelican Town,No,"""I've been thinking...Maybe I've been a little bit of a grouch. I used to think no one cared about us old folks."""
